E_MeV,E_keV,H_Z1,He_Z2,Li_Z3,Be_Z4,B_Z5,C_Z6,N_Z7,O_Z8,F_Z9,Ne_Z10,Na_Z11,Mg_Z12,Al_Z13,Si_Z14,P_Z15,S_Z16,Cl_Z17,Ar_Z18,K_Z19,Ca_Z20,Sc_Z21,Ti_Z22,V_Z23,Cr_Z24,Mn_Z25,Fe_Z26,Co_Z27,Ni_Z28,Cu_Z29,Zn_Z30,Zr_Z40,Sn_Z50,Ba_Z56,W_Z74,Pt_Z78,Au_Z79,Hg_Z80,Pb_Z82,Th_Z90,U_Z92,Tl_Z81
1.25,1250.0,0.1129,0.05688,0.04921,0.05054,0.05266,0.0569,0.05693,0.05697,0.05399,0.05646,0.05454,0.05629,0.05496,0.05688,0.05526,0.05697,0.05478,0.0515,0.05556,0.05709,0.05347,0.05263,0.05175,0.05295,0.05224,0.0535,0.0527,0.05494,0.05261,0.05296,0.0515,0.05095,0.05058,0.05577,0.05727,0.05794,0.05814,0.05876,0.06251,0.0637,0.058309999999999994
1.5,1500.0,0.1027,0.05173,0.04476,0.04597,0.04791,0.05179,0.0518,0.05185,0.04915,0.05145,0.04968,0.05129,0.05006,0.05183,0.05039,0.05193,0.04994,0.04695,0.05068,0.05207,0.04878,0.04801,0.04722,0.04832,0.04769,0.04883,0.0481,0.05015,0.04803,0.04834,0.047,0.04638,0.04592,0.05,0.05112,0.05167,0.05179,0.05222,0.05498,0.05587,0.051870000000000006
2.0,2000.0,0.08769,0.04422,0.0383,0.03938,0.04108,0.04442,0.0445,0.04459,0.04228,0.0443,0.04282,0.04426,0.04324,0.0448,0.04358,0.04498,0.04328,0.04074,0.04399,0.04524,0.04243,0.0418,0.04115,0.04213,0.04162,0.04265,0.04204,0.04387,0.04205,0.04235,0.04146,0.04112,0.04078,0.04433,0.04522,0.0457,0.04575,0.04606,0.04812,0.04878,0.04580999999999999
3.0,3000.0,0.06921,0.03503,0.03043,0.03138,0.03284,0.03562,0.03579,0.03597,0.03422,0.03594,0.03487,0.03613,0.03541,0.03678,0.0359,0.03715,0.03585,0.03384,0.03666,0.0378,0.03554,0.03512,0.03466,0.03559,0.03524,0.03621,0.0358,0.03745,0.03599,0.03634,0.03644,0.03686,0.03692,0.04075,0.0416,0.04201,0.04207,0.04234,0.04396,0.04447,0.04211
4.0,4000.0,0.05806,0.02949,0.02572,0.02664,0.02798,0.03047,0.03073,0.031,0.0296,0.03122,0.03037,0.03159,0.03106,0.0324,0.03172,0.03293,0.03188,0.03019,0.03282,0.03395,0.03202,0.03173,0.03141,0.03235,0.03213,0.03312,0.03283,0.03444,0.03318,0.0336,0.03451,0.03561,0.03598,0.04038,0.04124,0.04166,0.04172,0.04197,0.04347,0.04392,0.041749999999999995
5.0,5000.0,0.05049,0.02577,0.02257,0.02347,0.02476,0.02708,0.02742,0.02777,0.02663,0.02818,0.02753,0.02873,0.02836,0.02967,0.02915,0.03036,0.0295,0.02802,0.03054,0.0317,0.02999,0.02982,0.0296,0.03057,0.03045,0.03146,0.03127,0.03289,0.03177,0.03225,0.03384,0.03548,0.03612,0.04103,0.04196,0.04239,0.04246,0.04272,0.04421,0.04463,0.042480000000000004
6.0,6000.0,0.04498,0.02307,0.0203,0.02121,0.02248,0.02469,0.02511,0.02552,0.02457,0.0261,0.02559,0.02681,0.02655,0.02788,0.02747,0.02872,0.02798,0.02667,0.02915,0.03035,0.02878,0.02868,0.02855,0.02956,0.02952,0.03057,0.03045,0.0321,0.03108,0.0316,0.03374,0.03583,0.03669,0.0421,0.0431,0.04355,0.04362,0.04391,0.04542,0.04583,0.043660000000000004
8.0,8000.0,0.03746,0.0194,0.01725,0.01819,0.01945,0.02154,0.02209,0.02263,0.02195,0.02348,0.02319,0.02445,0.02437,0.02574,0.02552,0.02682,0.02628,0.02517,0.02766,0.02892,0.02756,0.02759,0.02759,0.02869,0.02875,0.02991,0.02991,0.03164,0.03074,0.03138,0.03441,0.03724,0.03844,0.04472,0.04584,0.04633,0.04643,0.04675,0.04836,0.04879,0.046470000000000004
10.0,10000.0,0.03254,0.01703,0.01529,0.01627,0.01755,0.01959,0.02024,0.02089,0.02039,0.02197,0.02181,0.02313,0.02318,0.02462,0.02452,0.02589,0.02549,0.02451,0.02704,0.02839,0.02715,0.02727,0.02738,0.02855,0.02871,0.02994,0.03002,0.03185,0.03103,0.03175,0.03554,0.03895,0.04042,0.04747,0.04872,0.04926,0.04937,0.04972,0.05149,0.05195,0.04943
15.0,15000.0,0.02539,0.01363,0.01252,0.01361,0.01495,0.01698,0.01782,0.01866,0.01846,0.02013,0.02023,0.02168,0.02195,0.02352,0.02364,0.02517,0.02496,0.02418,0.02687,0.02838,0.02732,0.02762,0.02786,0.0292,0.02951,0.03092,0.03115,0.0332,0.03247,0.03335,0.03855,0.04315,0.04518,0.05384,0.05537,0.05598,0.05613,0.05658,0.05871,0.05927,0.056220000000000006
20.0,20000.0,0.02153,0.01183,0.01109,0.01227,0.01368,0.01575,0.01673,0.0177,0.01769,0.01946,0.0197,0.02127,0.02168,0.02338,0.02363,0.02529,0.0252,0.02453,0.02737,0.02903,0.02804,0.02844,0.02877,0.03026,0.03068,0.03224,0.03256,0.03476,0.03408,0.03509,0.04122,0.04662,0.04902,0.05893,0.06064,0.06136,0.06154,0.06206,0.06447,0.06512,0.061620000000000015
